groupsize,protocol,operation,clientrole,setuptime,operationtime
128,FULL,add,RECIPIENT,29.855074,33.035515
128,FULL,add,RECIPIENT,29.448157,32.124196
128,FULL,add,RECIPIENT,29.277531,32.651383
128,FULL,add,RECIPIENT,30.954373,31.774652
128,FULL,add,RECIPIENT,28.870113,32.863262
128,FULL,add,RECIPIENT,29.148501,31.370423
128,FULL,add,RECIPIENT,29.187379,31.924594
128,FULL,add,RECIPIENT,34.193919,32.614202
128,FULL,add,RECIPIENT,29.797362,32.65099
128,FULL,add,RECIPIENT,31.357665,32.83041
128,FULL,add,RECIPIENT,29.217952,32.347467
128,FULL,add,RECIPIENT,29.438467,32.895168
128,FULL,add,RECIPIENT,29.406653,33.454303
128,FULL,add,RECIPIENT,28.727934,32.390472
128,FULL,add,RECIPIENT,30.208403,32.059645
128,FULL,add,RECIPIENT,31.500084,31.962353
128,FULL,add,RECIPIENT,29.061288,32.603015
128,FULL,add,RECIPIENT,31.108685,33.604333
128,FULL,add,RECIPIENT,32.642263,31.246623
128,FULL,add,RECIPIENT,30.189292,32.147605
128,FULL,add,RECIPIENT,29.455288,31.833986
128,FULL,add,RECIPIENT,31.367859,34.754797
128,FULL,add,RECIPIENT,29.522801,32.248715
128,FULL,add,RECIPIENT,33.986995,32.855687
128,FULL,add,RECIPIENT,35.135021,32.989376
128,FULL,add,RECIPIENT,36.416472,33.640331
128,FULL,add,RECIPIENT,31.06479,36.669965
128,FULL,add,RECIPIENT,29.561485,32.13786
22,FULL,message,SENDER,4.570916,0.363202
22,FULL,message,RECIPIENT,4.917429,0.29177
22,FULL,message,RECIPIENT,5.040387,0.28231
22,FULL,message,RECIPIENT,4.992958,0.842357
22,FULL,message,RECIPIENT,5.061624,0.27658
22,FULL,message,RECIPIENT,5.061624,0.306889
22,FULL,message,RECIPIENT,5.171053,0.34389
22,FULL,message,RECIPIENT,5.157933,0.298439
22,FULL,message,RECIPIENT,4.859904,0.36683
22,FULL,message,RECIPIENT,5.532353,0.38272
22,FULL,message,RECIPIENT,5.004705,0.30563
22,FULL,message,RECIPIENT,4.889202,0.389912
22,FULL,message,RECIPIENT,4.987296,0.413049
22,FULL,message,RECIPIENT,5.345054,0.499593
22,FULL,message,RECIPIENT,5.169436,0.305114
22,FULL,message,RECIPIENT,5.228524,0.441712
22,FULL,message,RECIPIENT,5.344561,0.303233
22,FULL,message,RECIPIENT,5.554297,0.522663
22,FULL,message,RECIPIENT,5.08041,0.316976
22,FULL,message,RECIPIENT,5.514686,0.405139
22,FULL,message,RECIPIENT,4.934741,0.348765
22,FULL,message,RECIPIENT,5.772543,0.66981
11,FULL,message,SENDER,2.130667,0.166392
11,FULL,message,RECIPIENT,3.009127,0.62764
11,FULL,message,RECIPIENT,2.847066,0.26681
11,FULL,message,RECIPIENT,2.956229,0.30701
11,FULL,message,RECIPIENT,2.752846,0.265978
11,FULL,message,RECIPIENT,3.690948,0.357783
11,FULL,message,RECIPIENT,2.835825,0.546051
11,FULL,message,RECIPIENT,3.189507,0.353874
11,FULL,message,RECIPIENT,2.869236,0.28058
11,FULL,message,RECIPIENT,3.516212,0.30786
11,FULL,message,RECIPIENT,3.488233,0.373359
16,FULL,message,SENDER,3.925165,0.153021
16,FULL,message,RECIPIENT,4.120993,0.413431
16,FULL,message,RECIPIENT,3.673246,0.29501
16,FULL,message,RECIPIENT,3.853975,0.307869
16,FULL,message,RECIPIENT,3.666385,0.283489
16,FULL,message,RECIPIENT,3.907164,0.255565
16,FULL,message,RECIPIENT,3.649986,0.30888
16,FULL,message,RECIPIENT,3.784902,0.379823
16,FULL,message,RECIPIENT,3.913865,0.292339
16,FULL,message,RECIPIENT,3.681296,0.25032
16,FULL,message,RECIPIENT,4.065376,0.31888
16,FULL,message,RECIPIENT,3.717536,0.301639
16,FULL,message,RECIPIENT,3.670136,0.285819
16,FULL,message,RECIPIENT,3.74516,0.379269
16,FULL,message,RECIPIENT,3.993992,0.25835
16,FULL,message,RECIPIENT,3.712174,0.258339
11,FULL,update,SENDER,2.501227,2.933007
11,FULL,update,RECIPIENT,2.684705,2.713657
11,FULL,update,RECIPIENT,3.153392,2.77298
11,FULL,update,RECIPIENT,3.099286,2.601247
11,FULL,update,RECIPIENT,2.756597,2.573234
11,FULL,update,RECIPIENT,2.750256,2.355966
11,FULL,update,RECIPIENT,3.68578,2.563356
11,FULL,update,RECIPIENT,3.498535,2.501088
11,FULL,update,RECIPIENT,3.078832,2.464819
11,FULL,update,RECIPIENT,2.827838,2.722814
11,FULL,update,RECIPIENT,3.341303,2.517627
8,FULL,add,SENDER,2.05403,1.862457
8,FULL,add,RECIPIENT,2.177527,3.199959
8,FULL,add,RECIPIENT,2.769174,4.391735
8,FULL,add,RECIPIENT,2.674266,4.358469
8,FULL,add,RECIPIENT,2.312371,3.791882
8,FULL,add,RECIPIENT,2.150197,4.10443
8,FULL,add,RECIPIENT,2.411866,3.791508
8,FULL,add,RECIPIENT,2.369416,5.253122
8,FULL,add,SENDER,1.975253,1.862297
8,FULL,add,RECIPIENT,2.159278,4.011661
8,FULL,add,RECIPIENT,2.096657,4.021595
8,FULL,add,RECIPIENT,2.383405,3.705765
8,FULL,add,RECIPIENT,2.394258,3.937161
8,FULL,add,RECIPIENT,2.148818,4.204856
8,FULL,add,RECIPIENT,2.27035,3.779934
8,FULL,add,RECIPIENT,2.272524,4.102556
45,FULL,message,SENDER,10.326798,0.106325
45,FULL,message,RECIPIENT,10.548207,0.30635
45,FULL,message,RECIPIENT,10.397338,0.308809
45,FULL,message,RECIPIENT,10.056904,0.31506
45,FULL,message,RECIPIENT,9.856248,0.673245
45,FULL,message,RECIPIENT,9.923795,0.327659
45,FULL,message,RECIPIENT,10.353364,0.286559
45,FULL,message,RECIPIENT,10.432808,0.272399
45,FULL,message,RECIPIENT,10.383703,0.410676
45,FULL,message,RECIPIENT,10.441277,0.30326
45,FULL,message,RECIPIENT,10.390764,0.25369
45,FULL,message,RECIPIENT,10.081258,0.34605
45,FULL,message,RECIPIENT,10.376114,0.610945
45,FULL,message,RECIPIENT,10.282409,0.35311
45,FULL,message,RECIPIENT,10.572297,0.422985
45,FULL,message,RECIPIENT,10.18088,0.366255
45,FULL,message,RECIPIENT,10.791529,0.51085
45,FULL,message,RECIPIENT,10.075422,0.276879
45,FULL,message,RECIPIENT,10.597425,0.275879
45,FULL,message,RECIPIENT,10.239889,0.448587
45,FULL,message,RECIPIENT,9.833515,0.318387
45,FULL,message,RECIPIENT,10.398594,0.369156
45,FULL,message,RECIPIENT,10.253022,0.313215
45,FULL,message,RECIPIENT,10.42807,0.434976
45,FULL,message,RECIPIENT,10.445638,0.485403
45,FULL,message,RECIPIENT,10.646139,0.56432
45,FULL,message,RECIPIENT,10.201308,0.34335
45,FULL,message,RECIPIENT,9.743286,0.486264
45,FULL,message,RECIPIENT,10.377449,0.61977
45,FULL,message,RECIPIENT,10.639473,0.280699
45,FULL,message,RECIPIENT,10.048117,0.38523
45,FULL,message,RECIPIENT,12.173774,0.390426
45,FULL,message,RECIPIENT,10.033726,0.354845
45,FULL,message,RECIPIENT,9.910635,0.375976
45,FULL,message,RECIPIENT,12.061009,0.545831
45,FULL,message,RECIPIENT,10.71557,0.397789
45,FULL,message,RECIPIENT,10.160129,0.357355
45,FULL,message,RECIPIENT,10.008541,0.442375
45,FULL,message,RECIPIENT,10.478435,0.37996
45,FULL,message,RECIPIENT,10.428189,0.454444
45,FULL,message,RECIPIENT,10.120945,0.432115
45,FULL,message,RECIPIENT,9.945598,0.311374
45,FULL,message,RECIPIENT,11.016856,0.376494
45,FULL,message,RECIPIENT,9.926599,0.692938
45,FULL,message,RECIPIENT,10.627902,0.339826
128,FULL,update,SENDER,28.947472,29.512684
128,FULL,update,RECIPIENT,29.244284,29.257736
128,FULL,update,RECIPIENT,29.329112,29.37629
128,FULL,update,RECIPIENT,29.143536,28.681495
128,FULL,update,RECIPIENT,30.16614,29.121775
128,FULL,update,RECIPIENT,30.540302,28.459163
128,FULL,update,RECIPIENT,28.976438,30.369417
128,FULL,update,RECIPIENT,30.382123,28.517796
128,FULL,update,RECIPIENT,29.354573,28.686319
128,FULL,update,RECIPIENT,29.874123,29.353443
128,FULL,update,RECIPIENT,29.694976,27.79715
128,FULL,update,RECIPIENT,29.99075,28.165313
128,FULL,update,RECIPIENT,28.956628,28.785544
128,FULL,update,RECIPIENT,28.800998,28.16143
128,FULL,update,RECIPIENT,29.374163,27.995138
128,FULL,update,RECIPIENT,28.44943,29.434629
128,FULL,update,RECIPIENT,29.308785,29.511245
128,FULL,update,RECIPIENT,32.012615,28.824729
128,FULL,update,RECIPIENT,29.61964,29.240689
128,FULL,update,RECIPIENT,30.249308,27.924068
128,FULL,update,RECIPIENT,28.948929,32.428523
128,FULL,update,RECIPIENT,29.417028,28.854804
128,FULL,update,RECIPIENT,29.100702,28.158851
128,FULL,update,RECIPIENT,30.517895,29.088286
128,FULL,update,RECIPIENT,28.659933,29.711488
128,FULL,update,RECIPIENT,30.719015,28.743197
128,FULL,update,RECIPIENT,29.154844,27.757328
128,FULL,update,RECIPIENT,30.189127,28.672448
128,FULL,update,RECIPIENT,29.616274,28.612639
128,FULL,update,RECIPIENT,30.600878,28.95665
128,FULL,update,RECIPIENT,28.600408,30.193353
128,FULL,update,RECIPIENT,28.903792,29.137893
128,FULL,update,RECIPIENT,29.458339,28.923509
128,FULL,update,RECIPIENT,28.963029,28.444809
128,FULL,update,RECIPIENT,29.982579,29.021715
128,FULL,update,RECIPIENT,29.16983,28.517364
128,FULL,update,RECIPIENT,29.723867,27.915529
128,FULL,update,RECIPIENT,30.116908,28.321178
128,FULL,update,RECIPIENT,29.174168,30.254193
128,FULL,update,RECIPIENT,31.184622,29.321094
128,FULL,update,RECIPIENT,31.607652,31.594878
128,FULL,update,RECIPIENT,29.965142,28.073149
128,FULL,update,RECIPIENT,29.216539,42.97543
128,FULL,update,RECIPIENT,28.783435,29.502838
128,FULL,update,RECIPIENT,29.235681,28.215659
128,FULL,update,RECIPIENT,29.817783,28.45515
128,FULL,update,RECIPIENT,29.386096,28.205171
128,FULL,update,RECIPIENT,28.971913,28.584243
128,FULL,update,RECIPIENT,32.116942,28.969818
128,FULL,update,RECIPIENT,29.606135,28.63651
128,FULL,update,RECIPIENT,29.301703,27.989924
128,FULL,update,RECIPIENT,29.201983,27.752986
128,FULL,update,RECIPIENT,29.418838,31.689462
128,FULL,update,RECIPIENT,28.678576,29.393721
128,FULL,update,RECIPIENT,29.386108,28.478768
128,FULL,update,RECIPIENT,29.171617,29.305038
128,FULL,update,RECIPIENT,29.495797,29.124985
128,FULL,update,RECIPIENT,29.059778,28.229186
128,FULL,update,RECIPIENT,29.050056,27.834093
128,FULL,update,RECIPIENT,29.438855,29.449322
128,FULL,update,RECIPIENT,29.928642,27.870823
128,FULL,update,RECIPIENT,28.503319,28.236671
128,FULL,update,RECIPIENT,30.404395,29.625602
128,FULL,update,RECIPIENT,29.147018,29.208813
128,FULL,update,RECIPIENT,29.344664,30.696638
